Timestamp,Policy Number,Program,Customer Name,Status,Payment Method,Primary Jurisdiction,Total Policy Premium,Payment Plan,Employment Category,Vehicle Use,Ownership,Policy Coverage Option
2026-01-30 06:23:32,PA9300848557-00,Personal Auto,Michael Williams,Active,Bill Me,Massachusetts,"$ 1,606.30",Quarterly Pay,Employed,Commute,Owned,Silver
2026-01-30 06:24:30,PA9301509757-00,Personal Auto,William Brown,Active,Bill Me,Massachusetts,$ 947.39,Quarterly Pay,Employed,Farm,Owned,Bronze
2026-01-30 06:25:25,PA9301672757-00,Personal Auto,David Jones,Active,Bill Me,Massachusetts,"$ 2,628.47",Quarterly Pay,Employed,Business,Owned,Gold
2026-01-30 06:26:22,PA9301837557-00,Personal Auto,Richard Miller,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Commute,Owned,Gold
2026-01-30 06:27:19,PA9302002457-00,Personal Auto,Joseph Davis,Active,Bill Me,Massachusetts,"$ 1,841.93",Quarterly Pay,Employed,Farm,Owned,Gold
2026-01-30 09:46:41,PA9304641857-00,Personal Auto,David Jones,Active,Bill Me,Massachusetts,"$ 3,353.92",Quarterly Pay,Employed,Business,Owned,Platinum
2026-01-30 09:46:44,PA9304697157-00,Personal Auto,Michael Williams,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Commute,Owned,Gold
2026-01-30 09:46:44,PA9304724757-00,Personal Auto,James Smith,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-01-30 09:47:49,PA9305135457-00,Personal Auto,Richard Miller,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Commute,Owned,Gold
2026-01-30 09:47:52,PA9305193257-00,Personal Auto,William Brown,Active,Bill Me,Massachusetts,$ 947.39,Quarterly Pay,Employed,Farm,Owned,Bronze
2026-01-30 09:47:54,PA9305255757-00,Personal Auto,Robert Johnson,Active,Bill Me,Massachusetts,"$ 1,885.57",Quarterly Pay,Employed,Business,Owned,Silver
2026-01-30 09:48:53,PA9305545157-00,Personal Auto,Joseph Davis,Active,Bill Me,Massachusetts,"$ 1,325.93",Quarterly Pay,Employed,Farm,Owned,Silver
2026-01-30 10:22:39,PA9306449957-00,Personal Auto,James Smith,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-02-01 08:16:32,PA9348361057-00,Personal Auto,James Smith,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-02-01 09:58:21,PA9348682757-00,Personal Auto,James Smith,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-02-01 09:59:21,PA9348846857-00,Personal Auto,Robert Johnson,Active,Bill Me,Massachusetts,"$ 1,885.57",Quarterly Pay,Employed,Business,Owned,Silver
2026-02-01 10:00:21,PA9349077257-00,Personal Auto,Michael Williams,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Commute,Owned,Gold
2026-02-01 10:01:20,PA9349241257-00,Personal Auto,William Brown,Active,Bill Me,Massachusetts,$ 947.39,Quarterly Pay,Employed,Farm,Owned,Bronze
2026-02-01 10:02:19,PA9349404057-00,Personal Auto,David Jones,Active,Bill Me,Massachusetts,"$ 3,353.92",Quarterly Pay,Employed,Business,Owned,Platinum
2026-02-01 10:03:18,PA9349568757-00,Personal Auto,Richard Miller,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Commute,Owned,Gold
2026-02-01 10:04:18,PA9349732857-00,Personal Auto,Joseph Davis,Active,Bill Me,Massachusetts,"$ 1,325.93",Quarterly Pay,Employed,Farm,Owned,Silver
2026-02-01 10:05:17,PA9349895857-00,Personal Auto,Stefan Stojanovic,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-02-01 11:52:01,PA9350450857-00,Personal Auto,James Smith,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-02-01 11:53:01,PA9350618357-00,Personal Auto,Robert Johnson,Active,Bill Me,Massachusetts,"$ 1,885.57",Quarterly Pay,Employed,Business,Owned,Silver
2026-02-01 11:53:59,PA9350781357-00,Personal Auto,Michael Williams,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Commute,Owned,Gold
2026-02-01 11:54:58,PA9350946957-00,Personal Auto,William Brown,Active,Bill Me,Massachusetts,$ 947.39,Quarterly Pay,Employed,Farm,Owned,Bronze
2026-02-01 11:55:56,PA9351111557-00,Personal Auto,David Jones,Active,Bill Me,Massachusetts,"$ 3,353.92",Quarterly Pay,Employed,Business,Owned,Platinum
2026-02-01 11:56:55,PA9351285457-00,Personal Auto,Richard Miller,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Commute,Owned,Gold
2026-02-01 11:57:55,PA9351948657-00,Personal Auto,Joseph Davis,Active,Bill Me,Massachusetts,"$ 1,325.93",Quarterly Pay,Employed,Farm,Owned,Silver
2026-02-01 11:58:53,PA9352111657-00,Personal Auto,Stefan Stojanovic,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-02-01 12:06:52,PA9352462757-00,Personal Auto,James Smith,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-02-01 12:10:59,PA9352903057-00,Personal Auto,Robert Johnson,Active,Bill Me,Massachusetts,"$ 1,885.57",Quarterly Pay,Employed,Business,Owned,Silver
2026-02-01 12:11:03,PA9352970557-00,Personal Auto,Richard Miller,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Commute,Owned,Gold
2026-02-01 12:11:03,PA9352998557-00,Personal Auto,William Brown,Active,Bill Me,Massachusetts,$ 947.39,Quarterly Pay,Employed,Farm,Owned,Bronze
2026-02-01 12:11:04,PA9353042657-00,Personal Auto,Joseph Davis,Active,Bill Me,Massachusetts,"$ 1,325.93",Quarterly Pay,Employed,Farm,Owned,Silver
2026-02-01 12:11:06,PA9353098257-00,Personal Auto,Michael Williams,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Commute,Owned,Gold
2026-02-01 12:19:10,PA9353694757-00,Personal Auto,David Jones,Active,Bill Me,Massachusetts,"$ 3,353.92",Quarterly Pay,Employed,Business,Owned,Platinum
2026-02-01 12:19:12,PA9353729757-00,Personal Auto,Michael Williams,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Commute,Owned,Gold
2026-02-01 12:19:12,PA9353759557-00,Personal Auto,James Smith,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-02-01 12:20:16,PA9354670257-00,Personal Auto,Richard Miller,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Commute,Owned,Gold
2026-02-01 12:20:20,PA9354729657-00,Personal Auto,William Brown,Active,Bill Me,Massachusetts,$ 947.39,Quarterly Pay,Employed,Farm,Owned,Bronze
2026-02-01 12:20:23,PA9354827957-00,Personal Auto,Robert Johnson,Active,Bill Me,Massachusetts,"$ 1,885.57",Quarterly Pay,Employed,Business,Owned,Silver
2026-02-01 12:21:15,PA9355118857-00,Personal Auto,Joseph Davis,Active,Bill Me,Massachusetts,"$ 1,325.93",Quarterly Pay,Employed,Farm,Owned,Silver
2026-02-01 12:21:24,PA9355226957-00,Personal Auto,Stefan Stojanovic,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-02-01 12:22:15,PA9355393857-00,Personal Auto,Stefan Stojkovic,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-02-03 09:39:03,PA9410057157-00,Personal Auto,James Smith,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
2026-02-03 10:04:47,PA9410312857-00,Personal Auto,James Smith,Active,Bill Me,Massachusetts,"$ 2,235.75",Quarterly Pay,Employed,Pleasure,Owned,Gold
